Status,Bill,Created,Client Name,Quantity,Amount,Balance,Options
Closed,PUR079,06/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,10.00,1250,1250,Options Bill Lines Edit Print Void entries
Closed,PUR078,06/11/2025,BRIMA CARGO,1.00,50037,50037,Options Bill Lines Edit Print Void entries
Closed,PUR077,06/10/2025,"NATION MEDIA GROUP PLC,NATION MEDIA GROUP",1.00,109060,109060,Options Bill Lines Edit Print Void entries
Closed,PUR076,06/10/2025,"NATION MEDIA GROUP PLC,NATION MEDIA GROUP",1.00,65380,65380,Options Bill Lines Edit Print Void entries
Closed,PUR075,06/10/2025,"NATION MEDIA GROUP PLC,NATION MEDIA GROUP",1.00,121615,121615,Options Bill Lines Edit Print Void entries
Closed,PUR074,03/11/2025,LITHI PURIFIED WATER,3.00,900,900,Options Bill Lines Edit Print Void entries
Closed,PUR073,06/10/2025,CROWN HEALTHCARE,100.00,31000,31000,Options Bill Lines Edit Print Void entries
Closed,PUR071,31/10/2025,SEROPHARM EAST AFRICA LIMITED,5.00,2000,2000,Options Bill Lines Edit Print Void entries
Closed,PUR069,31/10/2025,ALPHA SURGICALS SUPPLIES LIMITED,2.00,1600,1600,Options Bill Lines Edit Print Void entries
Closed,PUR068,06/10/2025,INTERMEDICA LIMITED,1.00,12000,12000,Options Bill Lines Edit Print Void entries
Closed,PUR067,30/10/2025,BIOCARE 3 IN ONE AGENCIES,10.00,14500,14500,Options Bill Lines Edit Print Void entries
Closed,PUR063,29/10/2025,ASCEND MEDICAL SUPPLIES,3.00,1050,1050,Options Bill Lines Edit Print Void entries
Closed,PUR060,28/10/2025,ASCEND MEDICAL SUPPLIES,3.00,8450,8450,Options Bill Lines Edit Print Void entries
Closed,PUR059,29/10/2025,SALIHIYA WORLDS CARGO LIMITED,1.00,52200,52200,Options Bill Lines Edit Print Void entries
Closed,PUR058,28/10/2025,MICROARRAY LIMITED,5.00,5000,5000,Options Bill Lines Edit Print Void entries
Closed,PUR057,28/10/2025,BIOCARE HEALTH SYSTEMS LTD,20.00,19000,19000,Options Bill Lines Edit Print Void entries
Closed,PUR056,28/10/2025,MICROARRAY LIMITED,1.00,2500,2500,Options Bill Lines Edit Print Void entries
Closed,PUR054,28/10/2025,MICROARRAY LIMITED,1.00,12000,12000,Options Bill Lines Edit Print Void entries
Closed,PUR053,15/10/2025,SUPERFOAM LIMITED,50.00,200000,200000,Options Bill Lines Edit Print Void entries
Closed,PUR052,24/10/2025,BIOCARE 3 IN ONE AGENCIES,1000.00,8000,8000,Options Bill Lines Edit Print Void entries
Closed,PUR050,25/10/2025,BIOCARE 3 IN ONE AGENCIES,350.00,2800,2800,Options Bill Lines Edit Print Void entries
Closed,PUR049,27/10/2025,BIOCARE 3 IN ONE AGENCIES,5000.00,40000,40000,Options Bill Lines Edit Print Void entries
Closed,PUR048,27/10/2025,BEULA FASHION LTD,10.00,2500,2500,Options Bill Lines Edit Print Void entries
Closed,PUR047,06/10/2025,MICROARRAY LIMITED,2.00,60000,60000,Options Bill Lines Edit Print Void entries
Closed,PUR046,15/10/2025,MICROARRAY LIMITED,1.00,2500,2500,Options Bill Lines Edit Print Void entries
Closed,PUR045,18/10/2025,MICROARRAY LIMITED,2.00,2000,2000,Options Bill Lines Edit Print Void entries
Closed,PUR044,06/10/2025,MICROARRAY LIMITED,7.00,29000,29000,Options Bill Lines Edit Print Void entries
Closed,PUR043,06/10/2025,MICROARRAY LIMITED,6.00,35000,35000,Options Bill Lines Edit Print Void entries
Closed,PUR042,24/10/2025,MICROARRAY LIMITED,6.00,18000,18000,Options Bill Lines Edit Print Void entries
Closed,PUR039,24/10/2025,MICROARRAY LIMITED,2.00,14000,14000,Options Bill Lines Edit Print Void entries
Closed,PUR038,24/10/2025,MICROARRAY LIMITED,1.00,30000,30000,Options Bill Lines Edit Print Void entries
Closed,PUR037,06/10/2025,MICROARRAY LIMITED,2.00,14000,14000,Options Bill Lines Edit Print Void entries
Closed,PUR036,23/10/2025,IMAR AUTO LTD,4.00,20000,20000,Options Bill Lines Edit Print Void entries
Closed,PUR035,22/10/2025,AFRICAN KINGS SUPPLIERS LIMITED,2.00,5000,5000,Options Bill Lines Edit Print Void entries
Closed,PUR034,06/10/2025,GREENSCAPE ENTERPRISES,1.00,7000,7000,Options Bill Lines Edit Print Void entries
Closed,PUR031,23/10/2025,LITHI PURIFIED WATER,4.00,1200,1200,Options Bill Lines Edit Print Void entries
Closed,PUR029,16/10/2025,BIOCARE 3 IN ONE AGENCIES,5.00,4000,4000,Options Bill Lines Edit Print Void entries
