Quote,Created,﻿ ﻿ sales person,Client Name,Status,Total Amount,Options
QT381,23/03/2026,,ST MARY'S MISIKHU MISSION HOSPITA;,Draft,"3,569,500.00",Options quote Lines Edit View Quote Print
QT379,23/03/2026,,NORTLIGHT HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT378,23/03/2026,,GALMAGALA HEALTH CENTER,Draft,0.00,Options quote Lines Edit View Quote Print
QT376,23/03/2026,,TOP CARE NURSING HOME,Draft,"568,600.00",Options quote Lines Edit View Quote Print
QT375,21/03/2026,,AGC LIONS HOSPITAL,Draft,"202,700.00",Options quote Lines Edit View Quote Print
QT374,21/03/2026,Beatrice Maingi,ALPHA HILL MEDICAL CENTRE,Draft,"850,000.00",Options quote Lines Edit View Quote Print
QT371,19/03/2026,,"SHIMO LA TEWA,PRISON DISPENSARY",Draft,0.00,Options quote Lines Edit View Quote Print
QT370,19/03/2026,,ST ANN IGOJI HOSPITAL,Draft,"530,000.00",Options quote Lines Edit View Quote Print
QT367,19/03/2026,,PSG HEALTHCARE LIMITED,Draft,"594,900.00",Options quote Lines Edit View Quote Print
QT366,19/03/2026,,GM VEZA HOSPITAL LIMITED,Draft,"2,460,000.00",Options quote Lines Edit View Quote Print
QT364,18/03/2026,,MATUU MISSION HEALTHCARE CENTRE,Draft,"29,000.00",Options quote Lines Edit View Quote Print
QT362,18/03/2026,,IJARA SUB-COUNTY HOSPITAL,Draft,"243,950.00",Options quote Lines Edit View Quote Print
QT361,18/03/2026,Lucy-Thiongo,WELLANDMEDICALCENTRE,Draft,"3,568,500.00",Options quote Lines Edit View Quote Print
QT360,18/03/2026,,ORTUM MISSION HOSPITAL,Draft,"90,000.00",Options quote Lines Edit View Quote Print
QT358,17/03/2026,Lucy-Thiongo,HURUMA NURSING HOME,Draft,"5,770,000.00",Options quote Lines Edit View Quote Print
QT357,17/03/2026,,MOTHER AMADEA MISSION HOSPITAL,Draft,"64,575.00",Options quote Lines Edit View Quote Print
QT356,17/03/2026,Lucy-Thiongo,ULTRACARE SPECIALIST HOSPITAL,Draft,"3,166,300.00",Options quote Lines Edit View Quote Print
